timestamp,environment,temperature_C,humidity_percent,lux
2025-03-25T18:05:53.260795,Environment 2,23.35,53.39,126.72
2025-03-25T18:06:03.779678,Environment 1,23.54,52.81,201.37
2025-03-25T18:06:04.320208,Environment 2,23.35,53.37,127.64
2025-03-25T18:06:14.842545,Environment 1,23.56,52.75,201.83
2025-03-25T18:06:17.476121,Environment 1,23.55,52.72,201.83
2025-03-25T18:06:18.017050,Environment 2,23.36,53.33,127.18
2025-03-25T18:06:28.534709,Environment 1,23.55,52.75,201.37
2025-03-25T18:06:29.076136,Environment 2,23.36,53.3,126.72
2025-03-25T18:06:39.598269,Environment 1,23.55,52.69,201.83
2025-03-25T18:06:42.231989,Environment 1,23.56,52.66,200.91
2025-03-25T18:06:42.772093,Environment 2,23.36,53.23,126.72
2025-03-25T18:06:53.294590,Environment 1,23.56,52.65,200.91
2025-03-25T18:06:53.832018,Environment 2,23.36,53.29,126.26
2025-03-25T18:07:04.353911,Environment 1,23.56,52.65,200.45
2025-03-25T18:07:06.987609,Environment 1,23.56,52.65,200.91
2025-03-25T18:07:07.528144,Environment 2,23.36,53.27,126.26
2025-03-25T18:07:18.047128,Environment 1,23.56,52.72,200.91
2025-03-25T18:07:18.587909,Environment 2,23.36,53.28,126.72
2025-03-25T18:07:29.105601,Environment 1,23.56,52.74,200.91
2025-03-25T18:07:31.744111,Environment 1,23.56,52.75,200.91
2025-03-25T18:07:32.280297,Environment 2,23.36,53.31,126.72
2025-03-25T18:07:42.802638,Environment 1,23.56,52.69,202.29
2025-03-25T18:07:43.339731,Environment 2,23.36,53.26,127.64
2025-03-25T18:07:53.862222,Environment 1,23.57,52.69,202.75
2025-03-25T18:07:56.495168,Environment 1,23.55,52.7,201.83
2025-03-25T18:07:57.036269,Environment 2,23.37,53.3,127.18
2025-03-25T18:08:07.558764,Environment 1,23.58,52.71,201.83
2025-03-25T18:08:08.095011,Environment 2,23.36,53.32,127.64
2025-03-25T18:08:18.618065,Environment 1,23.57,52.72,202.75
2025-03-25T18:08:21.251207,Environment 1,23.57,52.69,201.83
2025-03-25T18:08:21.792214,Environment 2,23.37,53.3,127.64
2025-03-25T18:08:32.314831,Environment 1,23.56,52.68,201.83
2025-03-25T18:08:32.851602,Environment 2,23.37,53.27,127.64
2025-03-25T18:08:43.373240,Environment 1,23.57,52.62,202.29
2025-03-25T18:08:46.011295,Environment 1,23.58,52.61,202.29
2025-03-25T18:08:46.547691,Environment 2,23.39,53.21,127.64
2025-03-25T18:08:57.070968,Environment 1,23.57,52.56,201.83
2025-03-25T18:08:57.611519,Environment 2,23.38,53.17,128.1
2025-03-25T18:09:08.133116,Environment 1,23.58,52.57,202.29
2025-03-25T18:09:10.767084,Environment 1,23.59,52.56,202.75
2025-03-25T18:09:11.304178,Environment 2,23.37,53.15,128.1
2025-03-25T18:09:21.826772,Environment 1,23.59,52.48,204.6
2025-03-25T18:09:22.362774,Environment 2,23.38,53.12,128.56
2025-03-25T18:09:32.885829,Environment 1,23.59,52.51,204.6
2025-03-25T18:09:35.523094,Environment 1,23.59,52.5,204.6
2025-03-25T18:09:36.059885,Environment 2,23.4,53.08,129.48
2025-03-25T18:09:46.582008,Environment 1,23.59,52.46,204.13
2025-03-25T18:09:47.119220,Environment 2,23.39,53.04,128.56
2025-03-25T18:09:57.641423,Environment 1,23.6,52.43,204.13
2025-03-25T18:10:00.275357,Environment 1,23.59,52.43,203.21
2025-03-25T18:10:00.815222,Environment 2,23.39,53.02,128.1
2025-03-25T18:10:11.338345,Environment 1,23.6,52.46,203.21
2025-03-25T18:10:11.874855,Environment 2,23.4,53.06,128.1
2025-03-25T18:10:22.397393,Environment 1,23.6,52.43,204.13
2025-03-25T18:10:25.031329,Environment 1,23.61,52.41,204.13
2025-03-25T18:10:25.571870,Environment 2,23.4,53.01,128.56
